timestamp,elapsed_s,speed_mps,heart_rate_bpm,cadence_spm,running_power_w,spo2_percent,core_temperature_c,core_temperature_source,latitude,longitude,altitude_m
2026-08-01T07:00:15+00:00,15,1.85,140,157,218,,37.83,Simulated external core-temperature sensor,40.00025467121811,-104.99991117877762,1602.5
2026-08-01T07:00:16+00:00,16,1.84,141,157,219,,37.83,Simulated external core-temperature sensor,40.00027120014373,-104.99990683536944,1602.8
2026-08-01T07:00:17+00:00,17,1.83,142,157,220,,37.83,Simulated external core-temperature sensor,40.00028763923823,-104.99990277943247,1603.1
2026-08-01T07:00:18+00:00,18,1.82,142,156,222,,37.83,Simulated external core-temperature sensor,40.000303988501614,-104.99989902348182,1603.4
2026-08-01T07:00:19+00:00,19,1.81,143,156,224,,37.83,Simulated external core-temperature sensor,40.000320247933885,-104.99989557910693,1603.7
2026-08-01T07:00:20+00:00,20,1.8,144,156,225,,37.83,Simulated external core-temperature sensor,40.00033641753503,-104.99989245693588,1604.0
2026-08-01T07:00:21+00:00,21,1.79,145,156,227,,37.84,Simulated external core-temperature sensor,40.000352497305066,-104.99988966660248,1604.5
2026-08-01T07:00:22+00:00,22,1.78,146,156,229,,37.84,Simulated external core-temperature sensor,40.00036848724398,-104.9998872167167,1605.0
2026-08-01T07:00:23+00:00,23,1.77,146,155,231,,37.84,Simulated external core-temperature sensor,40.00038438735178,-104.99988511483795,1605.5
2026-08-01T07:00:24+00:00,24,1.76,147,155,233,,37.84,Simulated external core-temperature sensor,40.00040019762846,-104.99988336745183,1606.0
2026-08-01T07:00:25+00:00,25,1.75,148,155,235,,37.84,Simulated external core-temperature sensor,40.00041591807402,-104.99988197995015,1606.5
2026-08-01T07:00:26+00:00,26,1.74,149,155,237,,37.84,Simulated external core-temperature sensor,40.00043154868847,-104.99988095661419,1607.0
2026-08-01T07:00:27+00:00,27,1.73,150,155,239,,37.85,Simulated external core-temperature sensor,40.00044708947179,-104.9998803006016,1607.5
2026-08-01T07:00:28+00:00,28,1.72,150,154,241,,37.85,Simulated external core-temperature sensor,40.000462540424,-104.99988001393659,1608.0
2026-08-01T07:00:29+00:00,29,1.71,151,154,243,,37.85,Simulated external core-temperature sensor,40.000477901545096,-104.9998800975037,1608.5
2026-08-01T07:00:30+00:00,30,1.7,152,154,245,,37.85,Simulated external core-temperature sensor,40.00049317283507,-104.99988055104507,1609.0
2026-08-01T07:00:31+00:00,31,1.69,153,154,247,,37.85,Simulated external core-temperature sensor,40.00050835429393,-104.99988137316124,1609.6
2026-08-01T07:00:32+00:00,32,1.68,154,154,249,,37.85,Simulated external core-temperature sensor,40.000523445921665,-104.99988256131546,1610.2
2026-08-01T07:00:33+00:00,33,1.67,154,153,251,,37.86,Simulated external core-temperature sensor,40.00053844771829,-104.99988411184155,1610.8
2026-08-01T07:00:34+00:00,34,1.66,155,153,253,,37.86,Simulated external core-temperature sensor,40.00055335968379,-104.99988601995516,1611.4
2026-08-01T07:00:35+00:00,35,1.65,156,153,255,,37.86,Simulated external core-temperature sensor,40.00056818181818,-104.99988827976854,1612.0
2026-08-01T07:00:36+00:00,36,1.64,157,153,257,,37.86,Simulated external core-temperature sensor,40.00058291412145,-104.99989088430878,1612.6
2026-08-01T07:00:37+00:00,37,1.63,158,153,259,,37.86,Simulated external core-temperature sensor,40.000597556593604,-104.99989382553923,1613.2
2026-08-01T07:00:38+00:00,38,1.62,158,152,261,,37.86,Simulated external core-temperature sensor,40.00061210923464,-104.99989709438437,1613.8
2026-08-01T07:00:39+00:00,39,1.61,159,152,263,,37.87,Simulated external core-temperature sensor,40.00062657204456,-104.99990068075775,1614.4
2026-08-01T07:00:40+00:00,40,1.6,160,152,265,,37.87,Simulated external core-temperature sensor,40.000640945023356,-104.99990457359316,1615.0
2026-08-01T07:00:41+00:00,41,1.594,161,152,266,,37.87,Simulated external core-temperature sensor,40.00065526185771,-104.99990876087877,1615.6
2026-08-01T07:00:42+00:00,42,1.588,162,152,268,,37.87,Simulated external core-temperature sensor,40.00066952254761,-104.99991322969419,1616.2
2026-08-01T07:00:43+00:00,43,1.581,163,151,269,,37.87,Simulated external core-temperature sensor,40.00068372709306,-104.99991796625032,1616.9
2026-08-01T07:00:44+00:00,44,1.575,164,151,270,,37.87,Simulated external core-temperature sensor,40.00069787549407,-104.99992295593192,1617.5
2026-08-01T07:00:45+00:00,45,1.569,165,151,271,,37.88,Simulated external core-temperature sensor,40.000711967750625,-104.9999281833427,1618.1
2026-08-01T07:00:46+00:00,46,1.562,166,150,272,,37.88,Simulated external core-temperature sensor,40.00072600386274,-104.99993363235284,1618.8
2026-08-01T07:00:47+00:00,47,1.556,167,150,274,,37.88,Simulated external core-temperature sensor,40.0007399838304,-104.9999392861487,1619.4
2026-08-01T07:00:48+00:00,48,1.55,168,150,275,,37.88,Simulated external core-temperature sensor,40.00075390765361,-104.9999451272848,1620.0
2026-08-01T07:00:49+00:00,49,1.564,167,150,271,,37.88,Simulated external core-temperature sensor,40.0007679539738,-104.99995113773758,1620.3
2026-08-01T07:00:50+00:00,50,1.577,166,151,268,,37.88,Simulated external core-temperature sensor,40.00078212279097,-104.99995729896104,1620.5
2026-08-01T07:00:51+00:00,51,1.591,165,151,264,,37.89,Simulated external core-temperature sensor,40.00079641410512,-104.99996359194391,1620.8
2026-08-01T07:00:52+00:00,52,1.605,164,151,260,,37.89,Simulated external core-temperature sensor,40.00081082791625,-104.99996999726845,1621.1
2026-08-01T07:00:53+00:00,53,1.618,163,152,257,,37.89,Simulated external core-temperature sensor,40.00082536422435,-104.99997649517019,1621.4
2026-08-01T07:00:54+00:00,54,1.632,163,152,253,,37.89,Simulated external core-temperature sensor,40.00084002302943,-104.99998306559904,1621.6
2026-08-01T07:00:55+00:00,55,1.645,162,153,250,,37.89,Simulated external core-temperature sensor,40.000854804331496,-104.99998968828112,1621.9
2026-08-01T07:00:56+00:00,56,1.659,161,153,246,,37.89,Simulated external core-temperature sensor,40.00086970813053,-104.9999963427813,1622.2
2026-08-01T07:00:57+00:00,57,1.673,160,153,242,,37.9,Simulated external core-temperature sensor,40.00088473442655,-105.0000030085663,1622.5
2026-08-01T07:00:58+00:00,58,1.686,159,154,239,,37.9,Simulated external core-temperature sensor,40.000899883219546,-105.00000966506798,1622.7
2026-08-01T07:00:59+00:00,59,1.7,158,154,235,,37.9,Simulated external core-temperature sensor,40.00091515450952,-105.00001629174689,1623.0
