elapsed_s,speed_mps,heart_rate_bpm,latitude,longitude,altitude_m
58.0,2.8,134.35566213458083,40.00058,-104.99913,1608.7
59.0,2.8,133.91388354119496,40.00059,-104.999115,1608.85
60.0,2.8,133.47545629699613,40.0006,-104.9991,1609.0
61.0,2.8,133.04173322448923,40.00061,-104.999085,1609.15
62.0,2.8,132.61405263086473,40.00062,-104.99907,1609.3
63.0,2.8,132.19373417848306,40.00063,-104.999055,1609.45
64.0,2.8,131.7820748128902,40.00064,-104.99904,1609.6
65.0,2.8,131.3803447609288,40.00065,-104.999025,1609.75
66.0,2.8,130.98978361129323,40.00066,-104.99901,1609.9
67.0,2.8,130.61159648962237,40.00067,-104.998995,1610.05
68.0,2.8,130.2469503399326,40.00068,-104.99898,1610.2
69.0,2.8,129.8969703238652,40.00069,-104.998965,1610.35
70.0,2.8,129.56273634885804,40.0007,-104.99895,1610.5
71.0,2.8,129.24527973595534,40.00071,-104.998935,1610.65
72.0,2.8,128.9455800375366,40.00072,-104.99892,1610.8
73.0,2.8,128.6645620147841,40.00073,-104.998905,1610.95
74.0,2.8,128.4030927842161,40.00074,-104.99889,1611.1
75.0,,128.16197914208928,40.00075,-104.998875,1611.25
76.0,,127.94196507492734,40.00076,-104.99886,1611.4
77.0,,127.74372946385684,40.00077,-104.998845,1611.55
78.0,,127.5678839898339,40.00078,-104.99883,1611.7
79.0,,127.41497124622562,40.00079,-104.998815,1611.85
80.0,,127.28546306456977,40.0008,-104.9988,1612.0
81.0,2.8,127.17975905867922,40.00081,-104.998785,1612.15
82.0,2.8,127.09818539158312,40.00082,-104.99877,1612.3
83.0,2.8,127.04099376910975,40.00083,-104.998755,1612.45
84.0,2.8,127.00836066321658,40.00084,-104.99874,1612.6
85.0,2.8,127.00038676746367,40.00085,-104.998725,1612.75
86.0,2.8,127.01709668631109,40.00086,-104.99871,1612.9
87.0,2.8,127.05843885919877,40.00087,-104.998695,1613.05
88.0,2.8,127.12428571964304,40.00088,-104.99868,1613.2
89.0,2.8,127.21443408885914,40.00089,-104.998665,1613.35
